(60, 17, 59.9375, 17.125) : 0
(60, 17.125, 59.9375, 17.25) : 0
(60, 17.25, 59.9375, 17.375) : 0
(60, 17.375, 59.9375, 17.5) : 0
(60, 17.5, 59.9375, 17.625) : 0
(60, 17.625, 59.9375, 17.75) : 1
(60, 17.75, 59.9375, 17.875) : 0
(60, 17.875, 59.9375, 18.0) : 0
(60, 18.0, 59.9375, 18.125) : 0
(60, 18.125, 59.9375, 18.25) : 0
(60, 18.25, 59.9375, 18.375) : 0
(60, 18.375, 59.9375, 18.5) : 0
(60, 18.5, 59.9375, 18.625) : 0
(60, 18.625, 59.9375, 18.75) : 0
(60, 18.75, 59.9375, 18.875) : 0
(60, 18.875, 59.9375, 19) : 0
(59.9375, 17, 59.875, 17.125) : 0
(59.9375, 17.125, 59.875, 17.25) : 0
(59.9375, 17.25, 59.875, 17.375) : 0
(59.9375, 17.375, 59.875, 17.5) : 0
(59.9375, 17.5, 59.875, 17.625) : 1
(59.9375, 17.625, 59.875, 17.75) : 3
(59.9375, 17.75, 59.875, 17.875) : 0
(59.9375, 17.875, 59.875, 18.0) : 0
(59.9375, 18.0, 59.875, 18.125) : 0
(59.9375, 18.125, 59.875, 18.25) : 0
(59.9375, 18.25, 59.875, 18.375) : 0
(59.9375, 18.375, 59.875, 18.5) : 0
(59.9375, 18.5, 59.875, 18.625) : 0
(59.9375, 18.625, 59.875, 18.75) : 0
(59.9375, 18.75, 59.875, 18.875) : 0
(59.9375, 18.875, 59.875, 19) : 0
(59.875, 17, 59.8125, 17.125) : 0
(59.875, 17.125, 59.8125, 17.25) : 0
(59.875, 17.25, 59.8125, 17.375) : 0
(59.875, 17.375, 59.8125, 17.5) : 0
(59.875, 17.5, 59.8125, 17.625) : 4
(59.875, 17.625, 59.8125, 17.75) : 8
(59.875, 17.75, 59.8125, 17.875) : 0
(59.875, 17.875, 59.8125, 18.0) : 0
(59.875, 18.0, 59.8125, 18.125) : 0
(59.875, 18.125, 59.8125, 18.25) : 0
(59.875, 18.25, 59.8125, 18.375) : 0
(59.875, 18.375, 59.8125, 18.5) : 0
(59.875, 18.5, 59.8125, 18.625) : 0
(59.875, 18.625, 59.8125, 18.75) : 0
